"siteID","date","dayMax","dayMin","dayMean","GDD","dayOfYear","year","AGDD"
"BART","2014-10-20",52.55924,41.46206,47.01065,0,293,"2014",0
"HARV","2014-10-20",50.78876,45.34538,48.06707,0,293,"2014",0
"BART","2014-10-21",47.96906,35.79584,41.88245,0,294,"2014",0
"HARV","2014-10-21",58.7093,42.31976,50.51453,1,294,"2014",1
"BART","2014-10-22",50.76698,44.40416,47.58557,0,295,"2014",0
"HARV","2014-10-22",52.32254,44.40542,48.36398,0,295,"2014",1
"BART","2014-10-23",50.6075,45.07178,47.83964,0,296,"2014",0
"HARV","2014-10-23",48.9254,43.7648,46.3451,0,296,"2014",1
"BART","2014-10-24",50.75222,44.83418,47.7932,0,297,"2014",0
"HARV","2014-10-24",47.41718,41.68076,44.54897,0,297,"2014",1
"BART","2014-10-25",61.19888,42.44576,51.82232,2,298,"2014",2
"HARV","2014-10-25",59.35262,37.56398,48.4583,0,298,"2014",1
"BART","2014-10-26",52.9259,39.17894,46.05242,0,299,"2014",2
"HARV","2014-10-26",54.23828,42.83132,48.5348,0,299,"2014",1
"BART","2014-10-27",49.6274,42.52856,46.07798,0,300,"2014",2
"HARV","2014-10-27",72.77414,42.18944,57.48179,7,300,"2014",8
"BART","2014-10-28",51.45638,40.4843,45.97034,0,301,"2014",2
"HARV","2014-10-28",66.65738,38.08184,52.36961,2,301,"2014",10
"BART","2014-10-29",56.70734,37.73318,47.22026,0,302,"2014",2
"HARV","2014-10-29",63.005,48.00398,55.50449,6,302,"2014",16
"BART","2014-10-30",51.96488,33.5399,42.75239,0,303,"2014",2
"HARV","2014-10-30",52.19366,36.4388,44.31623,0,303,"2014",16
"BART","2014-10-31",48.48998,29.7599,39.12494,0,304,"2014",2
"HARV","2014-10-31",49.4591,34.26836,41.86373,0,304,"2014",16
"BART","2014-11-01",43.63718,32.3573,37.99724,0,305,"2014",2
"HARV","2014-11-01",44.27114,36.24494,40.25804,0,305,"2014",16
"BART","2014-11-02",38.23646,32.52884,35.38265,0,306,"2014",2
"HARV","2014-11-02",38.74424,31.77302,35.25863,0,306,"2014",16
"BART","2014-11-03",46.66262,27.64904,37.15583,0,307,"2014",2
"HARV","2014-11-03",49.45082,24.8378,37.14431,0,307,"2014",16
"BART","2014-11-04",49.01558,29.88896,39.45227,0,308,"2014",2
"HARV","2014-11-04",60.45116,32.69408,46.57262,0,308,"2014",16
"BART","2014-11-05",58.53704,36.33278,47.43491,0,309,"2014",2
"HARV","2014-11-05",59.23778,42.87902,51.0584,1,309,"2014",17
"BART","2014-11-06",52.65842,35.0195,43.83896,0,310,"2014",2
"HARV","2014-11-06",49.05896,37.4414,43.25018,0,310,"2014",17
"BART","2014-11-07",41.60876,32.82818,37.21847,0,311,"2014",2
"HARV","2014-11-07",42.77714,33.86588,38.32151,0,311,"2014",17
"BART","2014-11-08",40.13438,29.81768,34.97603,0,312,"2014",2
"HARV","2014-11-08",43.83914,25.93724,34.88819,0,312,"2014",17
"BART","2014-11-09",50.89532,31.19468,41.045,0,313,"2014",2
"HARV","2014-11-09",51.47456,33.14066,42.30761,0,313,"2014",17
"BART","2014-11-10",53.60054,27.11462,40.35758,0,314,"2014",2
"HARV","2014-11-10",52.71998,29.54966,41.13482,0,314,"2014",17
"BART","2014-11-11",56.25392,28.51376,42.38384,0,315,"2014",2
"HARV","2014-11-11",59.31842,33.4535,46.38596,0,315,"2014",17
"BART","2014-11-12",55.04756,39.5114,47.27948,0,316,"2014",2
"HARV","2014-11-12",63.91364,41.69408,52.80386,3,316,"2014",20
"BART","2014-11-13",48.12134,30.5078,39.31457,0,317,"2014",2
"HARV","2014-11-13",45.5747,26.97278,36.27374,0,317,"2014",20
"BART","2014-11-14",37.6637,28.82444,33.24407,0,318,"2014",2
"HARV","2014-11-14",39.23024,28.28156,33.7559,0,318,"2014",20
"BART","2014-11-15",34.13696,23.28962,28.71329,0,319,"2014",2
"HARV","2014-11-15",35.29598,19.69916,27.49757,0,319,"2014",20
"BART","2014-11-16",36.96044,17.10698,27.03371,0,320,"2014",2
"HARV","2014-11-16",37.09472,20.3423,28.71851,0,320,"2014",20
"BART","2014-11-17",36.56372,28.36544,32.46458,0,321,"2014",2
"HARV","2014-11-17",40.85996,31.18172,36.02084,0,321,"2014",20
"BART","2014-11-18",37.19732,22.4411,29.81921,0,322,"2014",2
"HARV","2014-11-18",41.78516,20.56748,31.17632,0,322,"2014",20
"BART","2014-11-19",32.17118,19.69016,25.93067,0,323,"2014",2
"HARV","2014-11-19",31.78454,15.63944,23.71199,0,323,"2014",20
"BART","2014-11-20",34.75274,15.90296,25.32785,0,324,"2014",2
"HARV","2014-11-20",37.96592,20.20388,29.0849,0,324,"2014",20
"BART","2014-11-21",30.5105,18.79124,24.65087,0,325,"2014",2
"HARV","2014-11-21",30.23834,16.30886,23.2736,0,325,"2014",20
"BART","2014-11-22",39.73568,13.75934,26.74751,0,326,"2014",2
