"siteID","date","dayMax","dayMin","dayMean","GDD","AGDD","dayOfYear","year","monthDay"
"BART","2017-01-01",37.17176,22.10684,29.6393,0,0,1,"2017","2017-01-01"
"HARV","2017-01-01",35.08268,21.34544,28.21406,0,0,1,"2017","2017-01-01"
"SERC","2017-01-01",59.40554,33.42488,46.41521,0,0,1,"2017","2017-01-01"
"UNDE","2017-01-01",23.27108,10.41116,16.84112,0,0,1,"2017","2017-01-01"
"UKFS","2017-01-01",45.20066,21.95852,33.57959,0,0,1,"2017","2017-01-01"
"ORNL","2017-01-01",46.23746,36.76118,41.49932,0,0,1,"2017","2017-01-01"
"ABBY","2017-01-01",33.23696,30.11288,31.67492,0,0,1,"2017","2017-01-01"
"BART","2017-01-02",37.82822,12.83378,25.331,0,0,2,"2017","2017-01-02"
"HARV","2017-01-02",34.07756,15.23552,24.65654,0,0,2,"2017","2017-01-02"
"SERC","2017-01-02",43.94048,32.85572,38.3981,0,0,2,"2017","2017-01-02"
"UNDE","2017-01-02",28.6142,20.59556,24.60488,0,0,2,"2017","2017-01-02"
"UKFS","2017-01-02",49.37936,35.31344,42.3464,0,0,2,"2017","2017-01-02"
"ORNL","2017-01-02",58.16876,45.97376,52.07126,2,2,2,"2017","2017-01-02"
"ABBY","2017-01-02",32.25128,22.00982,27.13055,0,0,2,"2017","2017-01-02"
"BART","2017-01-03",31.9577,15.3986,23.67815,0,0,3,"2017","2017-01-03"
"HARV","2017-01-03",36.34556,29.82614,33.08585,0,0,3,"2017","2017-01-03"
"SERC","2017-01-03",45.43484,40.65962,43.04723,0,0,3,"2017","2017-01-03"
"UNDE","2017-01-03",28.67792,16.65068,22.6643,0,0,3,"2017","2017-01-03"
"UKFS","2017-01-03",48.73478,21.07796,34.90637,0,0,3,"2017","2017-01-03"
"ORNL","2017-01-03",64.83272,55.08482,59.95877,10,12,3,"2017","2017-01-03"
"ABBY","2017-01-03",29.61716,14.6075,22.11233,0,0,3,"2017","2017-01-03"
"BART","2017-01-04",41.82998,28.56668,35.19833,0,0,4,"2017","2017-01-04"
"HARV","2017-01-04",40.07912,31.95536,36.01724,0,0,4,"2017","2017-01-04"
"SERC","2017-01-04",54.96008,42.2267,48.59339,0,0,4,"2017","2017-01-04"
"UNDE","2017-01-04",17.14082,-6.02662,5.5571,0,0,4,"2017","2017-01-04"
"UKFS","2017-01-04",23.78354,7.90862,15.84608,0,0,4,"2017","2017-01-04"
"ORNL","2017-01-04",58.11818,35.17412,46.64615,0,12,4,"2017","2017-01-04"
"ABBY","2017-01-04",29.64074,19.859,24.74987,0,0,4,"2017","2017-01-04"
"BART","2017-01-05",36.49064,18.7232,27.60692,0,0,5,"2017","2017-01-05"
"HARV","2017-01-05",35.20562,17.69324,26.44943,0,0,5,"2017","2017-01-05"
"SERC","2017-01-05",45.39632,27.71366,36.55499,0,0,5,"2017","2017-01-05"
"UNDE","2017-01-05",-3.0334,-14.63584,-8.83462,0,0,5,"2017","2017-01-05"
"UKFS","2017-01-05",18.69962,7.76138,13.2305,0,0,5,"2017","2017-01-05"
"ORNL","2017-01-05",36.0284,26.79332,31.41086,0,12,5,"2017","2017-01-05"
"ABBY","2017-01-05",36.18518,7.62602,21.9056,0,0,5,"2017","2017-01-05"
"BART","2017-01-06",23.44208,12.97202,18.20705,0,0,6,"2017","2017-01-06"
"HARV","2017-01-06",26.56778,15.33632,20.95205,0,0,6,"2017","2017-01-06"
"SERC","2017-01-06",35.37968,28.28156,31.83062,0,0,6,"2017","2017-01-06"
"UNDE","2017-01-06",4.85852,-15.31246,-5.22697,0,0,6,"2017","2017-01-06"
"UKFS","2017-01-06",16.2428,-1.47982,7.38149,0,0,6,"2017","2017-01-06"
"ORNL","2017-01-06",34.21508,22.28756,28.25132,0,12,6,"2017","2017-01-06"
"ABBY","2017-01-06",38.08436,4.9946,21.53948,0,0,6,"2017","2017-01-06"
"BART","2017-01-07",17.20202,-0.364000000000004,8.41901,0,0,7,"2017","2017-01-07"
"HARV","2017-01-07",18.80402,9.21488,14.00945,0,0,7,"2017","2017-01-07"
"SERC","2017-01-07",29.27228,19.96556,24.61892,0,0,7,"2017","2017-01-07"
"UNDE","2017-01-07",3.34112,-14.06866,-5.36377,0,0,7,"2017","2017-01-07"
"UKFS","2017-01-07",24.87956,4.94636,14.91296,0,0,7,"2017","2017-01-07"
"ORNL","2017-01-07",28.09508,14.62586,21.36047,0,12,7,"2017","2017-01-07"
"ABBY","2017-01-07",35.5352,8.05442,21.79481,0,0,7,"2017","2017-01-07"
"BART","2017-01-08",15.0719,4.33778,9.70484,0,0,8,"2017","2017-01-08"
"HARV","2017-01-08",16.55294,0.0899600000000014,8.32145,0,0,8,"2017","2017-01-08"
"SERC","2017-01-08",28.63562,11.15402,19.89482,0,0,8,"2017","2017-01-08"
"UNDE","2017-01-08",9.47066,-2.42914,3.52076,0,0,8,"2017","2017-01-08"
"UKFS","2017-01-08",37.82156,6.76994,22.29575,0,0,8,"2017","2017-01-08"
"ORNL","2017-01-08",26.79602,7.69352,17.24477,0,12,8,"2017","2017-01-08"
"ABBY","2017-01-08",41.4068,23.77724,32.59202,0,0,8,"2017","2017-01-08"
"BART","2017-01-09",16.54682,0.0773599999999988,8.31209,0,0,9,"2017","2017-01-09"
"HARV","2017-01-09",16.36448,-6.37132,4.99658,0,0,9,"2017","2017-01-09"
"SERC","2017-01-09",31.05464,9.01238,20.03351,0,0,9,"2017","2017-01-09"
"UNDE","2017-01-09",15.32786,6.7505,11.03918,0,0,9,"2017","2017-01-09"
"UKFS","2017-01-09",47.06366,23.47844,35.27105,0,0,9,"2017","2017-01-09"
"ORNL","2017-01-09",39.76286,17.9618,28.86233,0,12,9,"2017","2017-01-09"
"ABBY","2017-01-09",40.33112,31.19342,35.76227,0,0,9,"2017","2017-01-09"
